Task,Score
BugClassificationC++.json,19.93
CodeSummarizationJava.json,11.99
FunctionSummarizationPython.json,0.0
NullDereferenceDetectionJava.json,12.87
PromptfromCodeCommentsPython.json,0.0
SummaryDecompositionC++.json,14.57
SQLSchemaDesignSQL.json,100.0
DataClasstoAPIConversionKotlin.json,37.03
BugFixingPython-Off-by-One.json,100.0
ConstructorCompletionPython.json,56.43
CSVParserVariantsPython.json,9.69
FixingFactorialBugPython.json,53.85
GeneratingEmailValidatorsPython+Regex.json,56.29
GeneratingFlaskAPIsPython.json,92.52
PurposeInferenceCompletionPython.json,100.0
RecursiveFunctionCompletionPython.json,30.01
BinarySearchCompletionJava.json,88.81
Self-ConsistencyBugFixingC++.json,100.0
LinkedListNodeDeletionC.json,67.52
PromptChainingBugIdentificationFixJavaScript.json,92.15
