Task,Score
BugClassificationC++.json,3.26
CodeSummarizationJava.json,4.76
FunctionSummarizationPython.json,8.37
NullDereferenceDetectionJava.json,2.4
PromptfromCodeCommentsPython.json,1.4
SummaryDecompositionC++.json,13.75
SQLSchemaDesignSQL.json,48.46
DataClasstoAPIConversionKotlin.json,44.41
BugFixingPython-Off-by-One.json,100.0
ConstructorCompletionPython.json,56.43
CSVParserVariantsPython.json,13.48
FixingFactorialBugPython.json,35.08
GeneratingEmailValidatorsPython+Regex.json,47.07
GeneratingFlaskAPIsPython.json,64.37
PurposeInferenceCompletionPython.json,49.83
RecursiveFunctionCompletionPython.json,32.61
BinarySearchCompletionJava.json,52.98
Self-ConsistencyBugFixingC++.json,79.54
LinkedListNodeDeletionC.json,26.12
PromptChainingBugIdentificationFixJavaScript.json,68.62
