Task,Score
BugClassificationC++.json,9.53
CodeSummarizationJava.json,10.89
FunctionSummarizationPython.json,0.23
NullDereferenceDetectionJava.json,22.51
PromptfromCodeCommentsPython.json,42.44
SummaryDecompositionC++.json,30.4
SQLSchemaDesignSQL.json,56.24
DataClasstoAPIConversionKotlin.json,76.09
BugFixingPython-Off-by-One.json,73.06
ConstructorCompletionPython.json,100.0
CSVParserVariantsPython.json,18.61
FixingFactorialBugPython.json,100.0
GeneratingEmailValidatorsPython+Regex.json,58.48
GeneratingFlaskAPIsPython.json,100.0
PurposeInferenceCompletionPython.json,87.34
RecursiveFunctionCompletionPython.json,95.22
BinarySearchCompletionJava.json,100.0
Self-ConsistencyBugFixingC++.json,100.0
LinkedListNodeDeletionC.json,90.17
PromptChainingBugIdentificationFixJavaScript.json,100.0
